,Country Name,Year,Bank deposits to GDP (%),Bank net interest margin (%),Bank non-performing loans to gross loans (%),Bank noninterest income to total income (%),Bank regulatory capital to risk-weighted assets (%),"Bank return on assets (%, after tax)","Bank return on assets (%, before tax)","Bank return on equity (%, after tax)","Bank return on equity (%, before tax)",Stock price volatility
0,Germany,2001,60.11213,1.085657,4.5999999,50.01545,12.0,0.1903105,0.1937112,4.938905,5.027161,22.99107
1,Germany,2002,61.91441,1.199346,5.0,45.14739,12.7,-0.0825265,-0.0694207,-2.186409,-1.839189,28.96065
2,Germany,2003,63.60712,0.9935254,5.1999998,53.95421,12.4,-0.3697644,-0.3812858,-10.744,-11.07877,38.05096
3,Germany,2004,63.186,1.039831,4.9000001,44.34132,12.4,-0.0747524,-0.0648268,-2.531668,-2.195513,25.24676
4,Germany,2005,65.42558,0.9291481,4.0999999,56.22723,12.2,0.3031225,0.4647613,10.98832,16.84779,14.12969
5,Germany,2006,65.89095,1.047733,3.4000001,49.98169,12.5,0.2773494,0.3280736,9.961563,11.78342,13.63169
6,Germany,2007,68.77578,0.998934,2.7,51.69201,12.9,0.4634388,0.5578479,16.2856,19.6032,15.45808
7,Germany,2008,72.54626,0.9373739,2.9000001,38.79678,13.6,-0.322196,-0.3431671,-12.6047,-13.42512,22.0637
8,Germany,2009,75.23013,1.124754,3.3,46.73398,14.8,-0.1239163,-0.1360182,-4.760259,-5.225156,36.12552
9,Germany,2010,74.64646,0.9450721,3.2,48.56953,16.05,0.0690129,0.0980248,2.157002,3.06377,26.74103
10,Germany,2011,75.19116,0.7976035,3.03,52.60822,16.4,0.0161935,0.0530616,0.4973264,1.629597,20.44542
11,Germany,2012,78.25276,0.8015723,2.86,54.83323,17.94,0.1227167,0.2196455,3.744245,6.701668,26.59126
12,Germany,2013,79.53912,0.8743087,2.7,53.65467,19.16,0.1233443,0.1734668,3.274515,4.605155,18.52831
13,Germany,2014,80.17319,0.9534323,2.34,47.81514,17.96,0.1254966,0.1752024,2.910913,4.063847,14.45042
14,Germany,2015,82.58025,0.6737522,1.97,63.13248,18.26,0.1315293,0.1819574,3.090181,4.275353,18.34303
15,Germany,2016,83.75291,0.7607464,1.71,59.03447,18.79,0.1454415,0.1883683,3.30946,4.28759,23.42877
16,Germany,2017,84.31528,0.8180764,1.5,61.51183,19.38,0.1352568,0.1883025,2.842293,3.956997,16.79665
17,Germany,2018,85.68807,0.7514042,1.24,62.8694,18.9,0.1801949,0.2021663,3.304783,3.707741,12.49904
18,Germany,2019,87.36482,0.9418611,1.05,54.62529,18.58,-0.7972499,-0.715566,-13.90325,-12.47876,14.94337
19,Germany,2020,97.11584,1.01293,,52.92302,19.19,-0.3052635,-0.201803,-6.134381,-4.055305,24.4758
21,India,2001,47.70963,3.36064,11.4,32.66939,11.4,0.5299345,0.8007599,10.95913,16.33647,25.56272
22,India,2002,52.04452,3.047019,10.4,36.70827,12.0,0.7246328,1.0974,14.9258,22.59695,27.19138
23,India,2003,52.28664,3.342012,8.8000002,39.25259,12.7,1.035324,1.488803,20.66038,29.70469,38.83801
24,India,2004,53.75902,3.719435,7.1999998,39.78331,12.9,1.315764,1.865153,24.5438,34.79191,44.10107
25,India,2005,56.68687,3.525682,5.1999998,31.56684,12.8,0.9791996,1.314812,17.09877,22.95923,33.74323
26,India,2006,59.99541,3.37657,3.5,29.53082,12.3,0.9797746,1.296052,15.92678,21.06805,18.84092
27,India,2007,63.67175,3.33443,2.7,30.13073,12.3,1.018889,1.453961,16.48958,23.53073,18.6423
28,India,2008,66.48245,3.141147,2.4000001,35.3794,13.0,1.13988,1.645486,17.13745,24.73893,19.61584
29,India,2009,71.64175,2.730931,2.2,35.64281,14.3,0.9886225,1.460704,14.11659,20.85747,16.21808
30,India,2010,69.34904,3.084793,2.3861329,34.61341,15.194525,1.095323,1.592607,15.68275,22.80284,15.92567
31,India,2011,68.97489,3.349387,2.670195,27.97115,13.052356,1.075549,1.579824,15.4055,22.62843,16.31277
32,India,2012,68.02185,3.068149,3.3739539,26.62507,13.127013,0.9793252,1.378238,13.97811,19.67096,14.40146
33,India,2013,69.42916,3.010606,4.0277286,27.23307,12.318221,0.9881853,1.359603,13.88486,19.10309,16.04544
34,India,2014,68.59116,2.850189,4.3458498,28.19664,12.476666,0.7525052,1.071865,10.61122,15.11404,15.93211
35,India,2015,68.92553,2.777501,5.8835223,29.05133,12.684558,0.2493197,0.3950269,3.409561,5.402174,12.57686
36,India,2016,71.32292,2.805027,9.1855195,34.35717,12.972568,0.407659,0.597372,5.388434,7.89606,10.28916
37,India,2017,66.48294,2.874403,9.98,32.48895,12.82,-0.2477876,-0.3940205,-3.243977,-5.158451,11.27185
38,India,2018,64.37984,2.924462,9.4609569,28.31426,12.916111,-0.1216264,-0.1670659,-1.568813,-2.15492,13.28375
39,India,2019,67.1951,2.961968,9.234429,31.0672,15.421021,0.1644412,0.4051674,2.044499,5.03745,24.01893
40,India,2020,76.54307,3.459566,7.9388307,28.48073,15.586551,0.6639425,0.9288501,8.038815,11.24623,29.00706
42,Japan,2001,178.1529,1.228424,8.3999996,21.87881,10.8,-0.0689072,-0.0437786,-0.8880411,-0.3605735,22.28609
43,Japan,2002,181.7295,1.266509,7.1999998,22.26233,9.3999996,-0.6935899,-0.9267758,-15.46856,-20.83814,23.50624
44,Japan,2003,182.6421,1.455906,5.1999998,28.13474,11.1,-0.7558788,-0.7672565,-20.76761,-21.08021,21.74023
45,Japan,2004,181.8625,1.388674,2.9000001,27.93347,11.6,-0.1482193,0.0948657,-1.217271,4.990443,19.80779
46,Japan,2005,181.2075,1.226512,1.8,29.13979,12.5,0.0605637,0.2546623,1.123792,5.909751,15.618
47,Japan,2006,179.0667,1.1382,1.8,28.20838,12.5,0.5011421,0.7172173,10.5452,15.27505,16.30069
48,Japan,2007,178.9086,1.195796,1.5,28.81807,13.3,0.4355563,0.6152316,8.277963,11.775,18.39456
49,Japan,2008,184.3094,1.249396,2.4000001,26.69193,11.3,0.2790495,0.452741,5.720348,9.369907,26.18073
50,Japan,2009,200.119,1.128542,2.4000001,22.60777,11.2,-0.1357156,-0.045153,-3.335233,-1.109641,38.22249
51,Japan,2010,199.3458,1.119896,2.4565025,21.20816,13.889159,0.2190823,0.3174109,5.130824,7.433642,25.48073
52,Japan,2011,208.4471,1.125781,2.4474133,24.27933,14.239265,0.2558111,0.370078,6.217078,8.60802,20.75535
53,Japan,2012,211.6501,1.022488,2.4288916,26.09723,14.249408,0.2761315,0.4174805,5.53838,8.45017,19.7859
54,Japan,2013,215.402,0.8876038,2.1290902,28.463,15.906137,0.2933601,0.390231,5.75887,7.660517,20.18368
55,Japan,2014,216.8568,0.9150746,1.7464563,25.52364,15.267852,0.3125019,0.4689893,5.914184,8.87575,22.28234
56,Japan,2015,214.4757,0.8236812,1.5336,32.42403,15.944172,0.3100162,0.440836,5.78012,8.219201,18.2754
57,Japan,2016,218.6006,0.7570254,1.3967698,32.83566,16.196335,0.2573943,0.3430561,4.898468,6.528698,24.89919
58,Japan,2017,221.335,0.6944829,1.191848,34.2384,16.656738,0.2642086,0.3516955,5.072978,6.752785,21.02885
59,Japan,2018,224.3427,0.6253906,1.0733867,32.69788,16.998114,0.1836252,0.2440381,3.56708,4.740652,13.43602
60,Japan,2019,228.3845,0.5908915,1.11,36.88523,17.27,0.105369,0.1743616,2.20223,3.644187,16.53054
61,Japan,2020,254.1537,0.5551788,1.14,34.50254,16.9,0.1413995,0.1940515,3.146451,4.318072,19.30813
63,United Kingdom,2001,,0.9536953,2.5999999,74.93277,13.2,0.6862215,0.7332152,8.472572,9.05279,17.34989
64,United Kingdom,2002,,1.396546,2.5999999,70.9961,13.1,0.9521692,0.9976718,9.896842,10.3698,20.84927
65,United Kingdom,2003,,1.88263,2.5,62.91051,13.0,1.161876,1.220246,10.81486,11.35818,24.87214
66,United Kingdom,2004,,2.273998,1.9,56.52837,12.7,2.396039,2.433141,37.45879,38.03882,15.04782
67,United Kingdom,2005,,2.656534,1.0,48.44027,12.8,0.7934467,0.8020872,16.83183,17.01512,9.216077
68,United Kingdom,2006,,1.534691,0.89999998,54.05927,12.9,0.6405093,0.655071,16.92087,17.30824,10.47492
69,United Kingdom,2007,,1.868864,0.89999998,50.28499,12.6,0.8671821,0.8767121,22.56292,22.81088,13.4408
70,United Kingdom,2008,,1.698274,1.6,47.29427,12.9,0.0472839,0.0484726,1.42981,1.465732,22.2326
71,United Kingdom,2009,,1.597129,3.5,49.07954,14.8,-0.0502658,-0.0516197,-1.621205,-1.66487,33.6287
72,United Kingdom,2010,,2.127417,3.9548338,49.72564,15.885847,-0.0183632,-0.0149475,-0.4524967,-0.3683293,22.77521
73,United Kingdom,2011,,1.647957,3.9618682,59.85024,15.7317,0.0523256,0.0584502,1.105307,1.234702,17.68835
74,United Kingdom,2012,,1.041306,3.586284,57.16864,17.06764,-0.2504694,-0.2491959,-5.104026,-5.078153,19.4726
75,United Kingdom,2013,,1.498009,3.1117417,50.86164,19.614217,0.1831138,0.1872195,3.705374,3.787711,14.07119
76,United Kingdom,2014,,1.479173,1.6543925,44.5363,17.313435,0.2465415,0.250515,4.489687,4.562047,11.2449
77,United Kingdom,2015,,1.970707,1.0145085,37.44589,19.615747,0.5023743,0.5916712,5.326834,6.273677,12.60134
78,United Kingdom,2016,,1.857563,0.94016128,32.10399,20.801391,0.3319097,0.5013404,3.493244,5.276741,17.39943
79,United Kingdom,2017,,1.774997,0.73465975,36.14647,20.495612,0.4835042,0.6145649,5.680831,7.221541,13.37846
80,United Kingdom,2018,,1.548244,1.0726275,36.05131,21.430732,0.4292984,0.5426834,4.886483,6.178847,9.617433
81,United Kingdom,2019,,2.247656,1.079504,27.31785,21.265862,0.4466396,0.6154628,4.668747,6.43474,11.70249
82,United Kingdom,2020,,1.852144,1.2156648,27.88467,21.568759,0.2592376,0.3526097,2.769177,3.767927,21.54198
84,United States,2001,65.73482,3.830588,1.3,41.71048,12.9,1.129962,1.693953,12.67404,18.99528,22.08035
85,United States,2002,66.39241,3.945815,1.4,41.69896,13.0,1.284541,1.912576,13.82143,20.57897,22.40724
86,United States,2003,66.0372,3.71074,1.1,43.29488,13.0,1.382455,2.051275,14.87162,22.06617,24.67943
87,United States,2004,65.40208,3.506137,0.80000001,42.13948,13.2,1.294449,1.895303,13.29073,19.45998,15.37389
88,United States,2005,66.50285,3.472205,0.69999999,42.22641,12.9,1.294616,1.910496,12.72106,18.77278,11.0255
89,United States,2006,68.97102,3.211213,0.80000001,43.14507,13.0,1.27231,1.858615,12.47851,18.22884,10.44469
90,United States,2007,74.33477,3.135414,1.4,40.90421,12.8,0.8740193,1.268739,8.578088,12.45207,11.51341
91,United States,2008,78.63197,3.0996,3.0,38.13509,12.8,0.1026004,0.1191502,1.453903,1.608011,21.41668
92,United States,2009,84.44508,3.411629,5.0,40.99651,13.9,0.1637008,0.220404,1.648456,2.207224,39.57303
93,United States,2010,78.63602,3.80898,4.3877431,37.0217,14.789098,0.6613665,0.9455028,5.939484,8.483457,26.41881
94,United States,2011,80.34418,3.645342,3.7815045,36.75529,14.685203,0.8635607,1.217208,7.650318,10.77829,18.59477
95,United States,2012,81.03249,3.525067,3.3172916,38.27949,14.506615,0.9884154,1.395731,8.79296,12.41614,21.04165
96,United States,2013,81.28259,3.428011,2.4523912,38.00665,14.405015,1.049896,1.519746,9.377299,13.57195,13.91965
97,United States,2014,81.90596,3.461277,1.8507118,36.58836,14.385415,1.022445,1.473613,9.089667,13.10032,11.29103
98,United States,2015,81.38542,3.249305,1.4734265,41.58426,14.13736,1.077313,1.561052,9.556301,13.84731,12.56322
99,United States,2016,82.06911,3.287158,1.3205222,37.53942,14.191082,1.069693,1.56042,9.536191,13.91096,15.72065
100,United States,2017,82.21514,3.392058,1.1268242,37.18576,14.532987,0.9720101,1.58326,8.732811,14.22445,11.00858
101,United States,2018,80.99707,3.53039,0.91316153,36.27905,14.774719,1.385062,1.755742,12.41673,15.73977,11.12038
102,United States,2019,84.52532,3.488174,0.85525196,36.08699,14.650502,1.340052,1.697266,11.9074,15.08152,15.48678
103,United States,2020,101.2169,3.054347,1.0653691,39.85518,16.276038,0.7172607,0.8944033,6.674671,8.323121,26.74141
